title;authors;country;genre;anthology;type;language_original;language_read;rating;dates_read
Anarchy, State, and Utopia;Robert Nozick;United States;Philosophy;No;Nonfiction;English;English;;2014
Creative Evolution;Henri Bergson;France;Philosophy;No;Nonfiction;French;Chinese;;2014
Selected Works of Goethe;Johann Wolfgang von Goethe;Germany;Classics, Poetry;Yes;Fiction;German;Chinese;;2014
Emergence: From Chaos to Order;John H. Holland;United States;Science;No;Nonfiction;English;English;;2015
Global Catastrophic Risks;Milan M. Cirkovic, Nick Bostrom;Serbia, Sweden;Sociology, Philosophy, Science;No;Nonfiction;English;English;;2015
Out of Control: The New Biology of Machines, Social Systems, and the Economic World;Kevin Kelly;United States;Science, Sociology;No;Nonfiction;English;English;;2015
The True Believer: Thoughts on the Nature of Mass Movements;Eric Hoffer;United States;Sociology, Psychology;No;Nonfiction;English;English;;2015
Forgotten Chicago;John Paulett, Ron Gordon;United States;History;No;Nonfiction;English;English;;2015
The Book of Universes: Exploring the Limits of the Cosmos;John D. Barrow;United Kingdom;Science;No;Nonfiction;English;English;;2015
Ludwig Boltzmann: The Man Who Trusted Atoms;Carlo Cercignani;Italy;History, Science;No;Nonfiction;English;English;;2015
Science and Hypothesis;Henri Poincare;France;Philosophy, Science;No;Nonfiction;French;English;;2015
When Cultures Collide: Leading Across Cultures;Richard D. Lewis;United Kingdom;Sociology;No;Nonfiction;English;English;;2015
Gödel, Escher, Bach: an Eternal Golden Braid;Douglas R. Hofstadter;United States;Philosophy, Science;No;Nonfiction;English;English;10;2015
Sapiens: A Brief History of Humankind;Yuval Noah Harari;Israel;History;No;Nonfiction;Hebrew;English;10;2015
The Selfish Gene;Richard Dawkins;Kenya, United Kingdom;History, Sociology;No;Nonfiction;English;English;;2015
The End of Certainty;Ilya Prigogine;Russian Federation, Belgium;Science;No;Nonfiction;English;English;;2015
The Story and Language of Heraldry: The Development of Coats of Arms and Heraldic Symbols, with 575 Illustrations;Stephen Slater;United Kingdom;History;No;Nonfiction;English;English;;2015
The God Particle: If the Universe Is the Answer, What Is the Question?;Dick Teresi, Leon Lederman;United States;History, Science;No;Nonfiction;English;English;;2015
The Ages of Gaia: A Biography of Our Living Earth;James Lovelock;United Kingdom;Science;No;Nonfiction;English;English;;2015
Anthropic Bias: Observation Selection Effects in Science and Philosophy;Nick Bostrom;Sweden;Science, Philosophy;No;Nonfiction;English;English;;2015
Cycles of Time: An Extraordinary New View of the Universe;Roger Penrose;United Kingdom;Science;No;Nonfiction;English;English;;2015
The Meaning of It All: Thoughts of a Citizen-Scientist;Richard P. Feynman;United States;Science, Sociology;No;Nonfiction;English;English;;2015
A History Of Western Society;John P. McKay;United States;History;No;Nonfiction;English;English;10;2015
Antifragile: Things That Gain from Disorder;Nassim Nicholas Taleb;Lebanon, United States;Science, Sociology;No;Nonfiction;English;English;;2015
The Three-Body Problem;Liu Cixin;China;Science Fiction;No;Fiction;Chinese;English;;2015
The Dark Forest;Liu Cixin;China;Science Fiction;No;Fiction;Chinese;English;10;2015
Death's End;Liu Cixin;China;Science Fiction;No;Fiction;Chinese;English;10;2016
Superintelligence: Paths, Dangers, Strategies;Nick Bostrom;Sweden;Sociology, Philosophy, Science;No;Nonfiction;English;English;;2016
Flat and Curved Space-Times;George Francis Rayner Ellis;South Africa;Science;No;Nonfiction;English;English;;2016
Natural Goodness;Philippa Foot;United Kingdom;Philosophy;No;Nonfiction;English;English;;2016
