country;city;coordinates;start_date;end_date;notes
China;Hangzhou;30.2741° N, 120.1552° E;2025-07-17;2025-07-18;
China;Beijing;39.9042° N, 116.4074° E;2025-07-18;2025-07-23;
China;Chongqing;29.5657° N, 106.5512° E;2025-07-23;2025-07-28;
Malaysia;Kuala Lumpur;3.1319° N, 101.6841° E;2025-07-28;2025-07-31;
China;Shanghai;31.2304° N, 121.4737° E;2025-07-31;2025-08-03;
China;Wuxi;31.4910° N, 120.3124° E;2025-08-03;2025-08-08;
China;Nanjing;32.0584° N, 118.7965° E;2025-08-08;2025-08-08;
China;Wuxi;31.4910° N, 120.3124° E;2025-08-08;2025-08-10;
Thailand;Bangkok;13.7563° N, 100.5018° E;2025-08-10;2025-08-12;
Thailand;Ayutthaya;14.3692° N, 100.5877° E;2025-08-12;2025-08-12;
Thailand;Bangkok;13.7563° N, 100.5018° E;2025-08-12;2025-08-14;
Qatar;Doha;25.2854° N, 51.5310° E;2025-08-14;2025-08-15;
Sweden;Stockholm;59.3327° N, 18.0656° E;2025-08-15;2026-02-26;
Bosnia and Herzegovina;Sarajevo;43.8563° N, 18.4131° E;2026-02-26;2026-03-01;
Bosnia and Herzegovina;Mostar;43.3438° N, 17.8078° E;2026-03-01;2026-03-02;
Croatia;Dubrovnik;42.6507° N, 18.0944° E;2026-03-02;2026-03-04;
Montenegro;Budva;42.2911° N, 18.8403° E;2026-03-04;2026-03-06;
Albania;Tirana;41.3275° N, 19.8187° E;2026-03-06;2026-03-08;
North Macedonia;Ohrid;41.1231° N, 20.8016° E;2026-03-08;2026-03-08;
Albania;Tirana;41.3275° N, 19.8187° E;2026-03-08;2026-03-10;
Sweden;Stockholm;59.3327° N, 18.0656° E;2026-03-10;2026-04-03;
Hungary;Budapest;47.4979° N, 19.0402° E;2026-04-03;2026-04-06;
Sweden;Stockholm;59.3327° N, 18.0656° E;2026-04-06;2026-05-14;
Austria;Vienna;48.2081° N, 16.3713° E;2026-05-14;2026-05-14;
Austria;Graz;47.0679° N, 15.4417° E;2026-05-14;2026-05-14;
Slovenia;Maribor;46.5547° N, 15.6459° E;2026-05-14;2026-05-15;
Austria;Vienna;48.2081° N, 16.3713° E;2026-05-15;2026-05-15;
Czechia;Brno;49.1951° N, 16.6068° E;2026-05-15;2026-05-16;
Austria;Vienna;48.2081° N, 16.3713° E;2026-05-16;2026-05-17;
Sweden;Stockholm;59.3327° N, 18.0656° E;2026-05-17;2026-05-30;
Austria;Vienna;48.2081° N, 16.3713° E;2026-05-30;2026-05-30;
Bulgaria;Varna;43.2141° N, 27.9147° E;2026-05-30;2026-06-06;
Germany;Frankfurt am Main;50.1109° N, 8.6821° E;2026-06-06;2026-06-06;
Sweden;Stockholm;59.3327° N, 18.0656° E;2026-06-06;2026-06-19;
Luxembourg;Luxembourg City;49.8153° N, 6.1296° E;2026-06-19;2026-06-19;
Germany;Cologne;50.9375° N, 6.9603° E;2026-06-20;2026-06-22;
Germany;Düsseldorf;51.2230° N, 6.7825° E;2026-06-22;2026-06-22;
Sweden;Stockholm;59.3327° N, 18.0656° E;2026-06-22;2026-07-22;
France;Nice;43.7102° N, 7.2620° E;2026-07-22;2026-07-22;
Monaco;Monaco;43.7384° N, 7.4246° E;2026-07-22;2026-07-22;
France;Nice;43.7102° N, 7.2620° E;2026-07-22;2026-07-23;
France;Marseille;43.3026° N, 5.3691° E;2026-07-23;2026-07-24;
Morocco;Ouarzazate;30.9335° N, 6.9370° W;2026-07-24;2026-07-25;
Morocco;Aït Benhaddou;31.0470° N, 7.1319° W;2026-07-25;2026-07-26;
Morocco;Marrakesh;31.6225° N, 7.9898° W;2026-07-26;2026-08-02;
Morocco;Casablanca;33.5731° N, 7.5898° W;2026-08-02;2026-08-15;
Morocco;Rabat;34.0084° N, 6.8539° W;2026-08-15;2026-08-16;
Morocco;Casablanca;33.5731° N, 7.5898° W;2026-08-16;2026-08-21;
Morocco;Meknes;33.8675° N, 5.5382° W;2026-08-21;2026-08-23;
Morocco;Casablanca;33.5731° N, 7.5898° W;2026-08-23;2026-08-30;
Morocco;Fes;34.0181° N, 5.0078° W;2026-08-30;2026-09-01;
Morocco;Chefchaouen;35.1688° N, 5.2684° W;2026-09-01;2026-09-02;
Morocco;Tangier;35.7595° N, 5.8340° W;2026-09-02;2026-09-03;
Spain;Valencia;39.4738° N, 0.3756° W;2026-09-03;2026-09-04;
Spain;Alicante;38.3458° N, 0.4909° W;2026-09-04;2026-09-06;
Sweden;Stockholm;59.3327° N, 18.0656° E;2026-09-06;2026-09-06;
